site,scenario,level,seed,policy,horizon_s,eligible_tasks,completed,overdue_en_route,overdue_assigned,run,registry_sha256
A,E3_L1_F1_C2,L1,20240607,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240607/B1,df09b61c9bdfb4787dc4eeceae1832f3ed93e8c5bf756817228f427541ccce5b
A,E3_L1_F1_C2,L1,20240607,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240607/B2,df09b61c9bdfb4787dc4eeceae1832f3ed93e8c5bf756817228f427541ccce5b
A,E3_L1_F1_C2,L1,20240607,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240607/B4b,df09b61c9bdfb4787dc4eeceae1832f3ed93e8c5bf756817228f427541ccce5b
A,E3_L1_F1_C2,L1,20240608,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240608/B0,0f83fd0bf30357684db85fe24ee4578a10ca7567e97e75a7a0b196cbda3bf090
A,E3_L1_F1_C2,L1,20240608,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240608/B1,1cdd25f9ff4ae6f6c75d5907ff91fc0567ebf78fa588dd8d5c9c8ed22483997d
A,E3_L1_F1_C2,L1,20240608,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240608/B2,1cdd25f9ff4ae6f6c75d5907ff91fc0567ebf78fa588dd8d5c9c8ed22483997d
A,E3_L1_F1_C2,L1,20240608,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240608/B4b,1cdd25f9ff4ae6f6c75d5907ff91fc0567ebf78fa588dd8d5c9c8ed22483997d
A,E3_L1_F1_C2,L1,20240609,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240609/B0,6c0843ec18c4e7128307525cad1241ac724b120865929d3928acdc3fc83582e9
A,E3_L1_F1_C2,L1,20240609,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240609/B1,9a435069caa9d7af57d341130f7e448bc7e2085441fdec65eec7188f24659f15
A,E3_L1_F1_C2,L1,20240609,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240609/B2,9a435069caa9d7af57d341130f7e448bc7e2085441fdec65eec7188f24659f15
A,E3_L1_F1_C2,L1,20240609,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240609/B4b,9a435069caa9d7af57d341130f7e448bc7e2085441fdec65eec7188f24659f15
A,E3_L1_F1_C2,L1,20240610,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240610/B0,e3c3600bf047e746c49716d5d5ca79ab0f7900c46b8ca40dc8b6362cc54dadd0
A,E3_L1_F1_C2,L1,20240610,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240610/B1,62edf1fe050e920dcdeb69f1dfcec0b5349f9fced60803197342dcff6a944ca5
A,E3_L1_F1_C2,L1,20240610,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240610/B2,62edf1fe050e920dcdeb69f1dfcec0b5349f9fced60803197342dcff6a944ca5
A,E3_L1_F1_C2,L1,20240610,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240610/B4b,62edf1fe050e920dcdeb69f1dfcec0b5349f9fced60803197342dcff6a944ca5
A,E3_L1_F1_C2,L1,20240611,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240611/B0,314d79a242f5461a3b19cec9b96e58cc6c1833b972106b569aadc285af1af30a
A,E3_L1_F1_C2,L1,20240611,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240611/B1,c3e8c2b73ddd879c93ab0ad829710115ce500e84d32ff85029e4f8befbd715c3
A,E3_L1_F1_C2,L1,20240611,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240611/B2,c3e8c2b73ddd879c93ab0ad829710115ce500e84d32ff85029e4f8befbd715c3
A,E3_L1_F1_C2,L1,20240611,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240611/B4b,c3e8c2b73ddd879c93ab0ad829710115ce500e84d32ff85029e4f8befbd715c3
A,E3_L1_F1_C2,L1,20240612,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240612/B0,de54b4e36483766a3feac6b47cf0ddb3e2d1943daff6fa5cc77b6109f215bf58
A,E3_L1_F1_C2,L1,20240612,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240612/B1,55486bc4726c24aa7e7e59b8643f632b685135154bf0b6a30a60b30d842c3a73
A,E3_L1_F1_C2,L1,20240612,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240612/B2,55486bc4726c24aa7e7e59b8643f632b685135154bf0b6a30a60b30d842c3a73
A,E3_L1_F1_C2,L1,20240612,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240612/B4b,55486bc4726c24aa7e7e59b8643f632b685135154bf0b6a30a60b30d842c3a73
A,E3_L1_F1_C2,L1,20240613,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240613/B0,0db972855f75895987a828362e6a85aedcdbb09ba25b0cf1f6ad03a176c3d378
A,E3_L1_F1_C2,L1,20240613,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240613/B1,33652f83304afea0a9374dcc2307ca0f52588fb041e38903b2b28843eeb4729e
A,E3_L1_F1_C2,L1,20240613,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240613/B2,33652f83304afea0a9374dcc2307ca0f52588fb041e38903b2b28843eeb4729e
A,E3_L1_F1_C2,L1,20240613,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240613/B4b,33652f83304afea0a9374dcc2307ca0f52588fb041e38903b2b28843eeb4729e
A,E3_L1_F1_C2,L1,20240614,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240614/B0,6724f4d7815e03a3068f9a663856c998c4254673539f7ef26339ec2c7b0b8bbe
A,E3_L1_F1_C2,L1,20240614,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240614/B1,683572102f3383ed9a10fe054eb0267746d29123c2d116361149dd66805bc808
A,E3_L1_F1_C2,L1,20240614,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240614/B2,683572102f3383ed9a10fe054eb0267746d29123c2d116361149dd66805bc808
A,E3_L1_F1_C2,L1,20240614,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240614/B4b,683572102f3383ed9a10fe054eb0267746d29123c2d116361149dd66805bc808
A,E3_L1_F1_C2,L1,20240615,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240615/B0,1811a8b239012814123a4fd4766db2c0d636c70e6a5a58862879f7aa12f2a842
A,E3_L1_F1_C2,L1,20240615,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240615/B1,70eb746a297a1369038b8f40973428d863066a1966deedf3bb43b523d7aedf86
