t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
16,16,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
17,17,EVTOL-01,EC35,31.3054752,120.6006935,199.9,BUSY,M-P-001,V1
17,17,L-UAV-01,AMZN,31.3005837,120.5982228,100.0,BUSY,M-L-001,V3
17,17,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
17,17,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
18,18,EVTOL-01,EC35,31.3057975,120.6008900,199.9,BUSY,M-P-001,V1
18,18,L-UAV-01,AMZN,31.3006975,120.5983093,100.0,BUSY,M-L-001,V3
18,18,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
18,18,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
19,19,EVTOL-01,EC35,31.3061198,120.6010864,199.9,BUSY,M-P-001,V1
19,19,L-UAV-01,AMZN,31.3008114,120.5983957,100.0,BUSY,M-L-001,V3
19,19,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
19,19,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
20,20,EVTOL-01,EC35,31.3064422,120.6012829,199.9,BUSY,M-P-001,V1
20,20,L-UAV-01,AMZN,31.3009253,120.5984822,100.0,BUSY,M-L-001,V3
20,20,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
20,20,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
21,21,EVTOL-01,EC35,31.3067645,120.6014794,199.9,BUSY,M-P-001,V1
21,21,L-UAV-01,AMZN,31.3010392,120.5985687,100.0,BUSY,M-L-001,V3
21,21,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
21,21,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
22,22,EVTOL-01,EC35,31.3070868,120.6016758,199.9,BUSY,M-P-001,V1
22,22,L-UAV-01,AMZN,31.3011531,120.5986551,100.0,BUSY,M-L-001,V3
22,22,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
22,22,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
23,23,EVTOL-01,EC35,31.3074091,120.6018723,199.9,BUSY,M-P-001,V1
23,23,L-UAV-01,AMZN,31.3012669,120.5987416,100.0,BUSY,M-L-001,V3
23,23,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
23,23,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
24,24,EVTOL-01,EC35,31.3077314,120.6020688,199.9,BUSY,M-P-001,V1
24,24,L-UAV-01,AMZN,31.3013808,120.5988280,100.0,BUSY,M-L-001,V3
24,24,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
24,24,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
25,25,EVTOL-01,EC35,31.3080537,120.6022653,199.9,BUSY,M-P-001,V1
25,25,L-UAV-01,AMZN,31.3014947,120.5989145,100.0,BUSY,M-L-001,V3
25,25,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
25,25,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
26,26,EVTOL-01,EC35,31.3083760,120.6024617,199.9,BUSY,M-P-001,V1
26,26,L-UAV-01,AMZN,31.3016086,120.5990010,100.0,BUSY,M-L-001,V3
26,26,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
26,26,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
27,27,EVTOL-01,EC35,31.3086984,120.6026582,199.9,BUSY,M-P-001,V1
27,27,L-UAV-01,AMZN,31.3017225,120.5990874,100.0,BUSY,M-L-001,V3
27,27,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
27,27,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
28,28,EVTOL-01,EC35,31.3090207,120.6028547,199.9,BUSY,M-P-001,V1
28,28,L-UAV-01,AMZN,31.3018363,120.5991739,100.0,BUSY,M-L-001,V3
28,28,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
28,28,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
29,29,EVTOL-01,EC35,31.3093430,120.6030512,199.9,BUSY,M-P-001,V1
29,29,L-UAV-01,AMZN,31.3019502,120.5992604,100.0,BUSY,M-L-001,V3
29,29,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
29,29,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
30,30,EVTOL-01,EC35,31.3096653,120.6032477,199.9,BUSY,M-P-001,V1
30,30,L-UAV-01,AMZN,31.3020641,120.5993468,100.0,BUSY,M-L-001,V3
30,30,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
30,30,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
31,31,EVTOL-01,EC35,31.3099876,120.6034441,199.9,BUSY,M-P-001,V1
31,31,L-UAV-01,AMZN,31.3021780,120.5994333,100.0,BUSY,M-L-001,V3
31,31,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
31,31,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
32,32,EVTOL-01,EC35,31.3103099,120.6036406,199.9,BUSY,M-P-001,V2
32,32,L-UAV-01,AMZN,31.3022919,120.5995197,100.0,BUSY,M-L-001,V3
32,32,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
32,32,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
33,33,EVTOL-01,EC35,31.3106489,120.6037931,199.9,BUSY,M-P-001,V2
33,33,L-UAV-01,AMZN,31.3024057,120.5996062,100.0,BUSY,M-L-001,V3
33,33,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
33,33,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
34,34,EVTOL-01,EC35,31.3110005,120.6038998,199.9,BUSY,M-P-001,V2
34,34,L-UAV-01,AMZN,31.3025196,120.5996927,100.0,BUSY,M-L-001,V3
34,34,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
34,34,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
35,35,EVTOL-01,EC35,31.3113601,120.6039593,199.9,BUSY,M-P-001,V2
35,35,L-UAV-01,AMZN,31.3026335,120.5997791,100.0,BUSY,M-L-001,V3
35,35,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
35,35,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
36,36,EVTOL-01,EC35,31.3117232,120.6039709,199.9,BUSY,M-P-001,V2
36,36,L-UAV-01,AMZN,31.3027474,120.5998656,100.0,BUSY,M-L-001,V3
36,36,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
36,36,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
37,37,EVTOL-01,EC35,31.3120850,120.6039344,199.9,BUSY,M-P-001,V2
37,37,L-UAV-01,AMZN,31.3028613,120.5999521,100.0,BUSY,M-L-001,V3
37,37,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
37,37,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
38,38,EVTOL-01,EC35,31.3124410,120.6038503,199.9,BUSY,M-P-001,V2
38,38,L-UAV-01,AMZN,31.3029751,120.6000385,100.0,BUSY,M-L-001,V3
38,38,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
38,38,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
39,39,EVTOL-01,EC35,31.3127866,120.6037196,199.9,BUSY,M-P-001,V2
39,39,L-UAV-01,AMZN,31.3030890,120.6001250,100.0,BUSY,M-L-001,V3
39,39,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
39,39,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
40,40,EVTOL-01,EC35,31.3131174,120.6035440,199.9,BUSY,M-P-001,V2
40,40,L-UAV-01,AMZN,31.3032029,120.6002114,100.0,BUSY,M-L-001,V3
40,40,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
40,40,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
41,41,EVTOL-01,EC35,31.3134291,120.6033259,199.9,BUSY,M-P-001,V2
41,41,L-UAV-01,AMZN,31.3033168,120.6002979,100.0,BUSY,M-L-001,V3
41,41,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
41,41,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
42,42,EVTOL-01,EC35,31.3137178,120.6030679,199.9,BUSY,M-P-001,V2
42,42,L-UAV-01,AMZN,31.3034307,120.6003844,100.0,BUSY,M-L-001,V3
42,42,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
42,42,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
43,43,EVTOL-01,EC35,31.3139797,120.6027733,199.9,BUSY,M-P-001,V2
43,43,L-UAV-01,AMZN,31.3035445,120.6004708,100.0,BUSY,M-L-001,V3
43,43,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
43,43,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
44,44,EVTOL-01,EC35,31.3142115,120.6024460,199.9,BUSY,M-P-001,V2
44,44,L-UAV-01,AMZN,31.3036584,120.6005573,100.0,BUSY,M-L-001,V3
44,44,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
44,44,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
45,45,EVTOL-01,EC35,31.3144102,120.6020902,199.9,BUSY,M-P-001,V2
45,45,L-UAV-01,AMZN,31.3037723,120.6006438,100.0,BUSY,M-L-001,V3
45,45,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
45,45,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
46,46,EVTOL-01,EC35,31.3145733,120.6017104,199.9,BUSY,M-P-001,V2
46,46,L-UAV-01,AMZN,31.3038862,120.6007302,100.0,BUSY,M-L-001,V3
46,46,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
46,46,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
47,47,EVTOL-01,EC35,31.3146986,120.6013114,199.9,BUSY,M-P-001,V2
47,47,L-UAV-01,AMZN,31.3040001,120.6008167,100.0,BUSY,M-L-001,V3
47,47,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
47,47,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
48,48,EVTOL-01,EC35,31.3147847,120.6008984,199.9,BUSY,M-P-001,V2
48,48,L-UAV-01,AMZN,31.3041139,120.6009032,100.0,BUSY,M-L-001,V3
48,48,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
48,48,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
49,49,EVTOL-01,EC35,31.3148303,120.6004766,199.9,BUSY,M-P-001,V2
49,49,L-UAV-01,AMZN,31.3042278,120.6009896,100.0,BUSY,M-L-001,V3
49,49,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
49,49,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
50,50,EVTOL-01,EC35,31.3148350,120.6000515,199.9,BUSY,M-P-001,V2
50,50,L-UAV-01,AMZN,31.3043417,120.6010761,100.0,BUSY,M-L-001,V3
50,50,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
50,50,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
51,51,EVTOL-01,EC35,31.3147986,120.5996285,199.9,BUSY,M-P-001,V2
51,51,L-UAV-01,AMZN,31.3044556,120.6011626,100.0,BUSY,M-L-001,V3
51,51,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
51,51,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
52,52,EVTOL-01,EC35,31.3147215,120.5992131,199.9,BUSY,M-P-001,V2
52,52,L-UAV-01,AMZN,31.3045695,120.6012490,100.0,BUSY,M-L-001,V3
52,52,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
52,52,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
53,53,EVTOL-01,EC35,31.3146049,120.5988105,199.9,BUSY,M-P-001,V2
53,53,L-UAV-01,AMZN,31.3046833,120.6013355,100.0,BUSY,M-L-001,V3
53,53,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
53,53,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
54,54,EVTOL-01,EC35,31.3144501,120.5984259,199.9,BUSY,M-P-001,V2
54,54,L-UAV-01,AMZN,31.3047972,120.6014220,100.0,BUSY,M-L-001,V3
54,54,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
54,54,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
55,55,EVTOL-01,EC35,31.3142593,120.5980642,199.9,BUSY,M-P-001,V2
55,55,L-UAV-01,AMZN,31.3049111,120.6015084,100.0,BUSY,M-L-001,V3
55,55,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
