od,distance_m,freeflow_eta_s,reasonably_distinct_paths_lower_bound,closure_freeflow_eta_ratio
D1_H1,3396.92,272.64370629461285,4,1.1140883456446695
D2_H2,2107.02,185.28385695530912,2,1.000664440784054
D1_V3,2174.23,167.54980782809884,3,1.0445162794124483
D2_V3,1206.26,121.38530919927366,4,1.0400772121675765
V3_H1,1804.28,163.92560998481466,2,1.1897535681243767
V3_H2,1584.7,148.2463793292695,2,1.9197310108463814
D2_V4,2169.98,234.29479818871005,2,1.0021878376986746
V4_H2,1364.7,164.5001207593375,2,1.4661791861401008
