od,distance_m,freeflow_eta_s,reasonably_distinct_paths_lower_bound,closure_freeflow_eta_ratio
D1_H1,1863.3,168.23326022004528,1,0.9548349249910059
D2_H2,2018.63,180.55603666952743,4,1.0839564552840313
D1_V3,1076.3700000000001,97.58420603662631,3,1.1814790408629596
D2_V3,1066.0,76.7458603311735,1,1.3564622772185797
V3_H1,1711.14,200.72850551722158,4,1.2545661925715716
V3_H2,1603.29,115.48482978504576,1,1.330105957540663
D2_V4,1371.68,183.36374342455724,3,0.942925938575564
V4_H2,1061.85,167.96491540351866,3,0.9334746418256934
