t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.3019799,120.5985632,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.2980969,120.5963349,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3023022,120.5987596,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.2982108,120.5964214,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3026246,120.5989561,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.2983247,120.5965078,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3029469,120.5991525,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.2984386,120.5965943,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3032692,120.5993490,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.2985525,120.5966807,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3035915,120.5995454,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.2986663,120.5967672,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3039138,120.5997419,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.2987802,120.5968536,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3042362,120.5999383,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.2988941,120.5969401,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3045585,120.6001348,199.9,BUSY,M-P-001,V1
9,9,L-UAV-01,AMZN,31.2990080,120.5970266,100.0,BUSY,M-L-001,V3
9,9,M-UAV-01,M600,31.3108767,120.6039862,46.6,AVAILABLE,,
9,9,M-UAV-02,M600,31.2971716,120.5956323,46.6,AVAILABLE,,
10,10,EVTOL-01,EC35,31.3048808,120.6003313,199.9,BUSY,M-P-001,V1
10,10,L-UAV-01,AMZN,31.2991219,120.5971130,100.0,BUSY,M-L-001,V3
10,10,M-UAV-01,M600,31.3108767,120.6039862,39.0,AVAILABLE,,
10,10,M-UAV-02,M600,31.2971716,120.5956323,39.0,AVAILABLE,,
11,11,EVTOL-01,EC35,31.3052031,120.6005277,199.9,BUSY,M-P-001,V1
11,11,L-UAV-01,AMZN,31.2992358,120.5971995,100.0,BUSY,M-L-001,V3
11,11,M-UAV-01,M600,31.3108767,120.6039862,31.4,AVAILABLE,,
11,11,M-UAV-02,M600,31.2971716,120.5956323,31.4,AVAILABLE,,
12,12,EVTOL-01,EC35,31.3055254,120.6007242,199.9,BUSY,M-P-001,V1
12,12,L-UAV-01,AMZN,31.2993496,120.5972859,100.0,BUSY,M-L-001,V3
12,12,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
12,12,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
13,13,EVTOL-01,EC35,31.3058477,120.6009206,199.9,BUSY,M-P-001,V1
13,13,L-UAV-01,AMZN,31.2994635,120.5973724,100.0,BUSY,M-L-001,V3
13,13,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
13,13,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
14,14,EVTOL-01,EC35,31.3061701,120.6011171,199.9,BUSY,M-P-001,V1
14,14,L-UAV-01,AMZN,31.2995774,120.5974588,100.0,BUSY,M-L-001,V3
14,14,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
14,14,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
15,15,EVTOL-01,EC35,31.3064924,120.6013136,199.9,BUSY,M-P-001,V1
15,15,L-UAV-01,AMZN,31.2996913,120.5975453,100.0,BUSY,M-L-001,V3
15,15,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
15,15,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
16,16,EVTOL-01,EC35,31.3068147,120.6015100,199.9,BUSY,M-P-001,V1
16,16,L-UAV-01,AMZN,31.2998052,120.5976318,100.0,BUSY,M-L-001,V3
16,16,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
16,16,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
17,17,EVTOL-01,EC35,31.3071370,120.6017065,199.9,BUSY,M-P-001,V1
17,17,L-UAV-01,AMZN,31.2999190,120.5977182,100.0,BUSY,M-L-001,V3
17,17,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
17,17,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
18,18,EVTOL-01,EC35,31.3074593,120.6019030,199.9,BUSY,M-P-001,V1
18,18,L-UAV-01,AMZN,31.3000329,120.5978047,100.0,BUSY,M-L-001,V3
18,18,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
18,18,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
19,19,EVTOL-01,EC35,31.3077816,120.6020994,199.9,BUSY,M-P-001,V1
19,19,L-UAV-01,AMZN,31.3001468,120.5978911,100.0,BUSY,M-L-001,V3
19,19,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
19,19,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
20,20,EVTOL-01,EC35,31.3081040,120.6022959,199.9,BUSY,M-P-001,V1
20,20,L-UAV-01,AMZN,31.3002607,120.5979776,100.0,BUSY,M-L-001,V3
20,20,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
20,20,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
21,21,EVTOL-01,EC35,31.3084263,120.6024924,199.9,BUSY,M-P-001,V1
21,21,L-UAV-01,AMZN,31.3003746,120.5980641,100.0,BUSY,M-L-001,V3
21,21,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
21,21,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
22,22,EVTOL-01,EC35,31.3087486,120.6026889,199.9,BUSY,M-P-001,V1
22,22,L-UAV-01,AMZN,31.3004885,120.5981505,100.0,BUSY,M-L-001,V3
22,22,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
22,22,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
23,23,EVTOL-01,EC35,31.3090709,120.6028853,199.9,BUSY,M-P-001,V1
23,23,L-UAV-01,AMZN,31.3006023,120.5982370,100.0,BUSY,M-L-001,V3
23,23,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
23,23,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
24,24,EVTOL-01,EC35,31.3093932,120.6030818,199.9,BUSY,M-P-001,V1
24,24,L-UAV-01,AMZN,31.3007162,120.5983234,100.0,BUSY,M-L-001,V3
24,24,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
24,24,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
25,25,EVTOL-01,EC35,31.3097155,120.6032783,199.9,BUSY,M-P-001,V1
25,25,L-UAV-01,AMZN,31.3008301,120.5984099,100.0,BUSY,M-L-001,V3
25,25,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
25,25,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
26,26,EVTOL-01,EC35,31.3100378,120.6034748,199.9,BUSY,M-P-001,V1
26,26,L-UAV-01,AMZN,31.3009440,120.5984964,100.0,BUSY,M-L-001,V3
26,26,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
26,26,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
27,27,EVTOL-01,EC35,31.3103602,120.6036712,199.9,BUSY,M-P-001,V2
27,27,L-UAV-01,AMZN,31.3010579,120.5985828,100.0,BUSY,M-L-001,V3
27,27,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
27,27,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
28,28,EVTOL-01,EC35,31.3106992,120.6038238,199.9,BUSY,M-P-001,V2
28,28,L-UAV-01,AMZN,31.3011717,120.5986693,100.0,BUSY,M-L-001,V3
28,28,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
28,28,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
29,29,EVTOL-01,EC35,31.3110507,120.6039304,199.9,BUSY,M-P-001,V2
29,29,L-UAV-01,AMZN,31.3012856,120.5987557,100.0,BUSY,M-L-001,V3
29,29,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
29,29,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
30,30,EVTOL-01,EC35,31.3114103,120.6039900,199.9,BUSY,M-P-001,V2
30,30,L-UAV-01,AMZN,31.3013995,120.5988422,100.0,BUSY,M-L-001,V3
30,30,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
30,30,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
31,31,EVTOL-01,EC35,31.3117734,120.6040015,199.9,BUSY,M-P-001,V2
31,31,L-UAV-01,AMZN,31.3015134,120.5989287,100.0,BUSY,M-L-001,V3
31,31,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
31,31,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
32,32,EVTOL-01,EC35,31.3121352,120.6039650,199.9,BUSY,M-P-001,V2
32,32,L-UAV-01,AMZN,31.3016273,120.5990151,100.0,BUSY,M-L-001,V3
32,32,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
32,32,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
