logical_unit,original_path,revised_path,original_status,revised_status,original_sha256,revised_sha256,reason,executor,analysis_entry
E4B/D60/E4_ANCHOR/seed20240611/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240611/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240611/B0/metrics.json,present,present,2f96ba2362b2f2e577ee8b18fc49fd108f35bf3d0f13c74f04c6ced6bdc34ea1,44502588b44dd644428b5a166dbbea256940c637c27b26eda8138f8b7a0b06c5,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240612/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240612/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240612/B0/metrics.json,present,present,ee73fa0d6b6bc0fd08632611ab76a990996a006ed1533fe3854fbfb0d4545078,3dad64c2769eb55dfbc56679b5e381c720b7565b7040fc4c7a4b1bbf38221556,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240613/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240613/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240613/B0/metrics.json,present,present,71620fe59b7882b7f5b0167a913f44e16feda0f2874cd4704a755b639130a04d,de89342b779dbbb34862514aa478d3a35b2915f413999eba5b892559626e1cbb,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240614/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240614/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240614/B0/metrics.json,present,present,7de42455fd1e2c86059ca5f99bff31721fc04f2e8cc0c8eff8afc4cf06d4b452,3d4e02413d1a50791991b7eead0d6fceaf541e805cffe4b7f46e7d7abf21d7a2,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240615/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240615/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240615/B0/metrics.json,present,present,835096843f5bfa52bac7141abd0fb8b6567a27bb5ecc618c61bf37645678c438,97c7302aa315e420e3040ab07b7d1231dae9631e7d0f6fd57b04818cc5dac5db,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240616/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240616/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240616/B0/metrics.json,present,present,93929371d93866eaeff1271036a4cfa80790d350d45c86cdb7d990d83c8c59d0,e160ce50dbc87d87919b0cff326feb25ebc67f1f3a57a8e45b3eb1894aa97fca,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240617/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240617/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240617/B0/metrics.json,present,present,f10acd932f45095409d6f7eed08bbf01fc94ae09792d5d55b728b1671ce2dcea,d14a8050d80ed78b07899a059909e07f6f9b6ab121287fffd904419e5ca371ed,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240618/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240618/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240618/B0/metrics.json,present,present,e2da5b85177f2921228a859108120426414a01018f205f76d235034053c4c4eb,b268fba10dfb7ef83f9821d63658d064e8089750a7b9a4fd8d26e6d579022f12,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240619/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240619/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240619/B0/metrics.json,present,present,60bf595798b0c0afed99eaec09a57f12c0b5582b00e4c6ba6b3136d4dd8c42a3,29b289d202e2c57bd306c2e9b542a26032e515905c9d361bef523b3af4756153,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240620/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240620/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240620/B0/metrics.json,present,present,bb94daebd6ee6827442803466640db941da17e01c9fa8e10df9a28644048c61e,8a52d2331c445eac0f678a1f3f74838bcf717c7a666ad5198dd84df730f5a89d,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
