t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.3019363,120.5985366,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.3004745,120.5981401,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3022586,120.5987330,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.3005884,120.5982265,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3025809,120.5989295,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.3007023,120.5983130,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3029032,120.5991259,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.3008162,120.5983994,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3032256,120.5993224,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.3009300,120.5984859,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3035479,120.5995188,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.3010439,120.5985724,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3038702,120.5997153,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.3011578,120.5986588,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3041925,120.5999117,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.3012717,120.5987453,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3045148,120.6001082,199.9,BUSY,M-P-001,V1
9,9,L-UAV-01,AMZN,31.3013856,120.5988317,100.0,BUSY,M-L-001,V3
9,9,M-UAV-01,M600,31.3108767,120.6039862,46.6,AVAILABLE,,
9,9,M-UAV-02,M600,31.2971716,120.5956323,46.6,AVAILABLE,,
10,10,EVTOL-01,EC35,31.3048372,120.6003047,199.9,BUSY,M-P-001,V1
10,10,L-UAV-01,AMZN,31.3014994,120.5989182,100.0,BUSY,M-L-001,V3
10,10,M-UAV-01,M600,31.3108767,120.6039862,39.0,AVAILABLE,,
10,10,M-UAV-02,M600,31.2971716,120.5956323,39.0,AVAILABLE,,
11,11,EVTOL-01,EC35,31.3051595,120.6005011,199.9,BUSY,M-P-001,V1
11,11,L-UAV-01,AMZN,31.3016133,120.5990047,100.0,BUSY,M-L-001,V3
11,11,M-UAV-01,M600,31.3108767,120.6039862,31.4,AVAILABLE,,
11,11,M-UAV-02,M600,31.2971716,120.5956323,31.4,AVAILABLE,,
12,12,EVTOL-01,EC35,31.3054818,120.6006976,199.9,BUSY,M-P-001,V1
12,12,L-UAV-01,AMZN,31.3017272,120.5990911,100.0,BUSY,M-L-001,V3
12,12,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
12,12,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
13,13,EVTOL-01,EC35,31.3058041,120.6008940,199.9,BUSY,M-P-001,V1
13,13,L-UAV-01,AMZN,31.3018411,120.5991776,100.0,BUSY,M-L-001,V3
13,13,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
13,13,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
14,14,EVTOL-01,EC35,31.3061264,120.6010905,199.9,BUSY,M-P-001,V1
14,14,L-UAV-01,AMZN,31.3019550,120.5992640,100.0,BUSY,M-L-001,V3
14,14,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
14,14,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
15,15,EVTOL-01,EC35,31.3064487,120.6012870,199.9,BUSY,M-P-001,V1
15,15,L-UAV-01,AMZN,31.3020689,120.5993505,100.0,BUSY,M-L-001,V3
15,15,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
