t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.3020813,120.5986250,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.3005153,120.5981710,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3024036,120.5988214,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.3006292,120.5982575,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3027259,120.5990179,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.3007430,120.5983439,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3030482,120.5992143,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.3008569,120.5984304,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3033705,120.5994108,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.3009708,120.5985169,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3036929,120.5996072,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.3010847,120.5986033,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3040152,120.5998037,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.3011986,120.5986898,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3043375,120.6000001,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.3013125,120.5987762,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3046598,120.6001966,199.9,BUSY,M-P-001,V1
