t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.3019777,120.5985618,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.3005974,120.5982333,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3023000,120.5987583,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.3007112,120.5983198,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3026224,120.5989547,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.3008251,120.5984063,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3029447,120.5991512,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.3009390,120.5984927,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3032670,120.5993476,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.3010529,120.5985792,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3035893,120.5995441,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.3011668,120.5986656,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3039116,120.5997405,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.3012807,120.5987521,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3042339,120.5999370,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.3013945,120.5988386,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3045563,120.6001335,199.9,BUSY,M-P-001,V1
9,9,L-UAV-01,AMZN,31.3015084,120.5989250,100.0,BUSY,M-L-001,V3
9,9,M-UAV-01,M600,31.3108767,120.6039862,46.6,AVAILABLE,,
9,9,M-UAV-02,M600,31.2971716,120.5956323,46.6,AVAILABLE,,
10,10,EVTOL-01,EC35,31.3048786,120.6003299,199.9,BUSY,M-P-001,V1
10,10,L-UAV-01,AMZN,31.3016223,120.5990115,100.0,BUSY,M-L-001,V3
10,10,M-UAV-01,M600,31.3108767,120.6039862,39.0,AVAILABLE,,
10,10,M-UAV-02,M600,31.2971716,120.5956323,39.0,AVAILABLE,,
11,11,EVTOL-01,EC35,31.3052009,120.6005264,199.9,BUSY,M-P-001,V1
11,11,L-UAV-01,AMZN,31.3017362,120.5990979,100.0,BUSY,M-L-001,V3
11,11,M-UAV-01,M600,31.3108767,120.6039862,31.4,AVAILABLE,,
11,11,M-UAV-02,M600,31.2971716,120.5956323,31.4,AVAILABLE,,
12,12,EVTOL-01,EC35,31.3055232,120.6007228,199.9,BUSY,M-P-001,V1
12,12,L-UAV-01,AMZN,31.3018501,120.5991844,100.0,BUSY,M-L-001,V3
12,12,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
12,12,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
13,13,EVTOL-01,EC35,31.3058455,120.6009193,199.9,BUSY,M-P-001,V1
13,13,L-UAV-01,AMZN,31.3019639,120.5992708,100.0,BUSY,M-L-001,V3
13,13,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
13,13,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
14,14,EVTOL-01,EC35,31.3061679,120.6011158,199.9,BUSY,M-P-001,V1
14,14,L-UAV-01,AMZN,31.3020778,120.5993573,100.0,BUSY,M-L-001,V3
14,14,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
14,14,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
15,15,EVTOL-01,EC35,31.3064902,120.6013122,199.9,BUSY,M-P-001,V1
15,15,L-UAV-01,AMZN,31.3021917,120.5994438,100.0,BUSY,M-L-001,V3
15,15,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
15,15,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
16,16,EVTOL-01,EC35,31.3068125,120.6015087,199.9,BUSY,M-P-001,V1
16,16,L-UAV-01,AMZN,31.3023056,120.5995302,100.0,BUSY,M-L-001,V3
16,16,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
16,16,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
17,17,EVTOL-01,EC35,31.3071348,120.6017052,199.9,BUSY,M-P-001,V1
17,17,L-UAV-01,AMZN,31.3024195,120.5996167,100.0,BUSY,M-L-001,V3
17,17,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
17,17,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
18,18,EVTOL-01,EC35,31.3074571,120.6019016,199.9,BUSY,M-P-001,V1
18,18,L-UAV-01,AMZN,31.3025334,120.5997032,100.0,BUSY,M-L-001,V3
18,18,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
18,18,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
19,19,EVTOL-01,EC35,31.3077794,120.6020981,199.9,BUSY,M-P-001,V1
19,19,L-UAV-01,AMZN,31.3026472,120.5997896,100.0,BUSY,M-L-001,V3
19,19,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
19,19,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
20,20,EVTOL-01,EC35,31.3081017,120.6022946,199.9,BUSY,M-P-001,V1
20,20,L-UAV-01,AMZN,31.3027611,120.5998761,100.0,BUSY,M-L-001,V3
20,20,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
20,20,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
21,21,EVTOL-01,EC35,31.3084241,120.6024910,199.9,BUSY,M-P-001,V1
21,21,L-UAV-01,AMZN,31.3028750,120.5999625,100.0,BUSY,M-L-001,V3
21,21,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
21,21,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
22,22,EVTOL-01,EC35,31.3087464,120.6026875,199.9,BUSY,M-P-001,V1
22,22,L-UAV-01,AMZN,31.3029889,120.6000490,100.0,BUSY,M-L-001,V3
22,22,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
22,22,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
23,23,EVTOL-01,EC35,31.3090687,120.6028840,199.9,BUSY,M-P-001,V1
23,23,L-UAV-01,AMZN,31.3031028,120.6001355,100.0,BUSY,M-L-001,V3
23,23,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
23,23,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
24,24,EVTOL-01,EC35,31.3093910,120.6030805,199.9,BUSY,M-P-001,V1
24,24,L-UAV-01,AMZN,31.3032166,120.6002219,100.0,BUSY,M-L-001,V3
24,24,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
