od,distance_m,freeflow_eta_s,reasonably_distinct_paths_lower_bound,closure_freeflow_eta_ratio
D1_H1,2124.66,235.9694581936446,2,1.0045456760699705
D2_H2,2654.11,264.2357841624771,3,0.9427300270150601
D1_V3,1788.83,207.14098771257963,3,1.0325441479196542
D2_V3,1738.46,189.38971009570133,3,1.0189917622846276
V3_H1,1809.03,184.18971821990135,3,1.0667149212062095
V3_H2,1854.1200000000001,216.3318247260991,3,0.8732368722382045
D2_V4,1919.58,215.38678205094988,4,1.0822351103256493
V4_H2,1714.35,195.60442665187026,4,0.983945824622037
