delay_s,executor,expected_completion_absolute_s,expected_task_duration_s,failure_time_s,group,historical_metrics,historical_sha256,method,output_root,seed,status
0,legacy_corrected,482,182,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D00_F360/seed20240601/B0/metrics.json,3f96c3506b96f88e6d3d0e95a73e46df5cc0b4d320f6ead81883ba2c1e424fdb,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
0,runtime_v2_legacy_compatible_pending,482,182,360,R0_BRIDGE,legacy/20260918/manuscript/source/revision_v3/regression/D00_F360/seed20240601/B0/metrics.json,3f96c3506b96f88e6d3d0e95a73e46df5cc0b4d320f6ead81883ba2c1e424fdb,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
30,legacy_corrected,512,212,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D30_F360/seed20240601/B0/metrics.json,d94f61a40e9b0f2f210f6077112433f01454a928b3cc6fe182ef6f21cc68dc75,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
30,runtime_v2_legacy_compatible_pending,512,212,360,R0_BRIDGE,legacy/20260918/manuscript/source/revision_v3/regression/D30_F360/seed20240601/B0/metrics.json,d94f61a40e9b0f2f210f6077112433f01454a928b3cc6fe182ef6f21cc68dc75,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,legacy_corrected,542,242,359,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F359/seed20240601/B0/metrics.json,114a7afff1baad7fc2a0f6428e17db643177a1300c4995994be951145ae6ca12,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,runtime_v2_legacy_compatible_pending,542,242,359,R0_BRIDGE,legacy/20260918/manuscript/source/revision_v3/regression/D60_F359/seed20240601/B0/metrics.json,114a7afff1baad7fc2a0f6428e17db643177a1300c4995994be951145ae6ca12,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,legacy_corrected,542,242,361,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F361/seed20240601/B0/metrics.json,17164ba438ccaf927905be753e23e9f3e3319f56ab7106d067e0fbaa5445d3d3,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,runtime_v2_legacy_compatible_pending,542,242,361,R0_BRIDGE,legacy/20260918/manuscript/source/revision_v3/regression/D60_F361/seed20240601/B0/metrics.json,17164ba438ccaf927905be753e23e9f3e3319f56ab7106d067e0fbaa5445d3d3,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,legacy_corrected,642,342,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240601/B1/metrics.json,638a746a216236acf1995845e2ba4a257d8db4b373205eceb895a368e52c09d3,B1,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,legacy_corrected,602,302,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240601/B2/metrics.json,5b013bc2171082a24167e60bc8fc4421a74a58b5ff94fa89a53c672d410de2f1,B2,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,runtime_v2_legacy_compatible_pending,602,302,360,R0_BRIDGE,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240601/B2/metrics.json,5b013bc2171082a24167e60bc8fc4421a74a58b5ff94fa89a53c672d410de2f1,B2,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,legacy_original,642,342,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360_baseline/seed20240601/B1/metrics.json,638a746a216236acf1995845e2ba4a257d8db4b373205eceb895a368e52c09d3,B1,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
