t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.3019027,120.5985161,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.3008083,120.5983935,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3022250,120.5987125,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.3009222,120.5984799,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3025473,120.5989090,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.3010360,120.5985664,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3028696,120.5991054,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.3011499,120.5986528,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3031919,120.5993019,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.3012638,120.5987393,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3035143,120.5994983,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.3013777,120.5988258,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3038366,120.5996948,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.3014916,120.5989122,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3041589,120.5998913,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.3016054,120.5989987,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3044812,120.6000877,199.9,BUSY,M-P-001,V1
9,9,L-UAV-01,AMZN,31.3017193,120.5990851,100.0,BUSY,M-L-001,V3
9,9,M-UAV-01,M600,31.3108767,120.6039862,46.6,AVAILABLE,,
9,9,M-UAV-02,M600,31.2971716,120.5956323,46.6,AVAILABLE,,
10,10,EVTOL-01,EC35,31.3048035,120.6002842,199.9,BUSY,M-P-001,V1
10,10,L-UAV-01,AMZN,31.3018332,120.5991716,100.0,BUSY,M-L-001,V3
10,10,M-UAV-01,M600,31.3108767,120.6039862,39.0,AVAILABLE,,
10,10,M-UAV-02,M600,31.2971716,120.5956323,39.0,AVAILABLE,,
11,11,EVTOL-01,EC35,31.3051259,120.6004806,199.9,BUSY,M-P-001,V1
11,11,L-UAV-01,AMZN,31.3019471,120.5992581,100.0,BUSY,M-L-001,V3
11,11,M-UAV-01,M600,31.3108767,120.6039862,31.4,AVAILABLE,,
11,11,M-UAV-02,M600,31.2971716,120.5956323,31.4,AVAILABLE,,
12,12,EVTOL-01,EC35,31.3054482,120.6006771,199.9,BUSY,M-P-001,V1
12,12,L-UAV-01,AMZN,31.3020610,120.5993445,100.0,BUSY,M-L-001,V3
12,12,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
12,12,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
13,13,EVTOL-01,EC35,31.3057705,120.6008735,199.9,BUSY,M-P-001,V1
13,13,L-UAV-01,AMZN,31.3021749,120.5994310,100.0,BUSY,M-L-001,V3
13,13,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
13,13,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
14,14,EVTOL-01,EC35,31.3060928,120.6010700,199.9,BUSY,M-P-001,V1
14,14,L-UAV-01,AMZN,31.3022887,120.5995174,100.0,BUSY,M-L-001,V3
14,14,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
14,14,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
15,15,EVTOL-01,EC35,31.3064151,120.6012665,199.9,BUSY,M-P-001,V1
15,15,L-UAV-01,AMZN,31.3024026,120.5996039,100.0,BUSY,M-L-001,V3
15,15,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
15,15,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
16,16,EVTOL-01,EC35,31.3067374,120.6014629,199.9,BUSY,M-P-001,V1
16,16,L-UAV-01,AMZN,31.3025165,120.5996904,100.0,BUSY,M-L-001,V3
16,16,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
16,16,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
17,17,EVTOL-01,EC35,31.3070598,120.6016594,199.9,BUSY,M-P-001,V1
17,17,L-UAV-01,AMZN,31.3026304,120.5997768,100.0,BUSY,M-L-001,V3
17,17,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
17,17,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
18,18,EVTOL-01,EC35,31.3073821,120.6018559,199.9,BUSY,M-P-001,V1
18,18,L-UAV-01,AMZN,31.3027443,120.5998633,100.0,BUSY,M-L-001,V3
18,18,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
18,18,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
19,19,EVTOL-01,EC35,31.3077044,120.6020523,199.9,BUSY,M-P-001,V1
19,19,L-UAV-01,AMZN,31.3028581,120.5999498,100.0,BUSY,M-L-001,V3
19,19,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
19,19,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
20,20,EVTOL-01,EC35,31.3080267,120.6022488,199.9,BUSY,M-P-001,V1
20,20,L-UAV-01,AMZN,31.3029720,120.6000362,100.0,BUSY,M-L-001,V3
20,20,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
20,20,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
21,21,EVTOL-01,EC35,31.3083490,120.6024453,199.9,BUSY,M-P-001,V1
21,21,L-UAV-01,AMZN,31.3030859,120.6001227,100.0,BUSY,M-L-001,V3
21,21,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
21,21,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
22,22,EVTOL-01,EC35,31.3086713,120.6026418,199.9,BUSY,M-P-001,V1
22,22,L-UAV-01,AMZN,31.3031998,120.6002091,100.0,BUSY,M-L-001,V3
22,22,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
22,22,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
23,23,EVTOL-01,EC35,31.3089936,120.6028382,199.9,BUSY,M-P-001,V1
23,23,L-UAV-01,AMZN,31.3033137,120.6002956,100.0,BUSY,M-L-001,V3
23,23,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
23,23,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
24,24,EVTOL-01,EC35,31.3093160,120.6030347,199.9,BUSY,M-P-001,V1
24,24,L-UAV-01,AMZN,31.3034275,120.6003821,100.0,BUSY,M-L-001,V3
24,24,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
24,24,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
25,25,EVTOL-01,EC35,31.3096383,120.6032312,199.9,BUSY,M-P-001,V1
25,25,L-UAV-01,AMZN,31.3035414,120.6004685,100.0,BUSY,M-L-001,V3
25,25,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
25,25,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
26,26,EVTOL-01,EC35,31.3099606,120.6034277,199.9,BUSY,M-P-001,V1
26,26,L-UAV-01,AMZN,31.3036553,120.6005550,100.0,BUSY,M-L-001,V3
26,26,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
26,26,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
27,27,EVTOL-01,EC35,31.3102829,120.6036242,199.9,BUSY,M-P-001,V2
27,27,L-UAV-01,AMZN,31.3037692,120.6006415,100.0,BUSY,M-L-001,V3
27,27,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
27,27,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
28,28,EVTOL-01,EC35,31.3106219,120.6037767,199.9,BUSY,M-P-001,V2
28,28,L-UAV-01,AMZN,31.3038831,120.6007279,100.0,BUSY,M-L-001,V3
28,28,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
